alpha,g0_over_omega_rabi0,g0,v_low,oscillator_ratio,max_high_population,final_high_population,F_X,t_gate,passes_leakage,passes_fidelity,passes_both
3.0,0.01,0.0008,0.1,2.4,0.9981596087330313,0.7215719150994705,0.06952430372481826,12.418235332245127,0,0,0
3.0,0.01,0.0008,0.1,3.0,0.9949050280592597,0.7508364392500625,0.07327204915383188,12.418235332245127,0,0,0
3.0,0.01,0.0008,0.1,3.6,0.9918641977617476,0.7957663458431857,0.09241590946929043,12.418235332245127,0,0,0
3.0,0.01,0.0008,0.1,4.5,0.9964251649749847,0.8305724486069768,0.15207190835344436,12.418235332245127,0,0,0
3.0,0.01,0.0008,0.1,5.5,0.9953929188877136,0.7963489011848757,0.15791040594167438,12.418235332245127,0,0,0
3.0,0.01,0.0008,0.1,7.0,0.9832829259276399,0.8163066706001696,0.005570595935595858,12.418235332245127,0,0,0
3.0,0.01,0.0008,0.14,2.4,0.7999384229987018,0.24598736137772298,0.31142489584208094,14.693454198173747,0,0,0
3.0,0.01,0.0008,0.14,3.0,0.5737571925878513,0.0009114625840665542,0.994638794108815,14.693454198173747,0,0,0
3.0,0.01,0.0008,0.14,3.6,0.3867308251507785,0.056705892669128406,0.6845751220967483,14.693454198173747,0,0,0
3.0,0.01,0.0008,0.14,4.5,0.21167976316723708,0.20950718779336083,0.4271583984784227,14.693454198173747,0,0,0
3.0,0.01,0.0008,0.14,5.5,0.11322291960365834,0.01702680047644654,0.8212155898586222,14.693454198173747,0,0,0
3.0,0.01,0.0008,0.14,7.0,0.04966444638817092,0.021446077560363454,0.8001748026262453,14.693454198173747,0,0,0
3.0,0.01,0.0008,0.18,2.4,0.06243337684528182,0.0029300770090122247,0.9244344329898638,16.660811018093874,0,0,0
3.0,0.01,0.0008,0.18,3.0,0.028087065815635307,0.02581713526479534,0.781547563678628,16.660811018093874,0,0,0
3.0,0.01,0.0008,0.18,3.6,0.014263518978178492,0.005368082871841657,0.8981895051545576,16.660811018093874,0,0,0
3.0,0.01,0.0008,0.18,4.5,0.006097782743286283,0.00026086875726030853,0.9772460488304044,16.660811018093874,0,0,0
3.0,0.01,0.0008,0.18,5.5,0.0027993185006660597,0.002055274080231643,0.9365747176953814,16.660811018093874,0,0,0
3.0,0.01,0.0008,0.18,7.0,0.00108890124776325,0.0006515969269295725,0.9641178993682481,16.660811018093874,0,0,0
3.0,0.01,0.0008,0.24,2.4,0.0007933863171923596,0.00016831969541270078,0.9817083061512167,19.23824745242796,1,0,0
3.0,0.01,0.0008,0.24,3.0,0.00032788301527132354,4.279572017527491e-05,0.9907629614183078,19.23824745242796,1,0,0
3.0,0.01,0.0008,0.24,3.6,0.00015905865213816333,0.00010342397837037995,0.9856520962106531,19.23824745242796,1,0,0
3.0,0.01,0.0008,0.24,4.5,6.544738769293197e-05,2.986915681146287e-05,0.9922809944245973,19.23824745242796,1,0,0
3.0,0.01,0.0008,0.24,5.5,2.940246139957101e-05,8.585167993072512e-09,0.9998690769596755,19.23824745242796,1,1,1
3.0,0.01,0.0008,0.24,7.0,1.1179188801519741e-05,4.103482999349981e-07,0.9990943736577583,19.23824745242796,1,1,1
3.0,0.01,0.0008,0.32,2.4,8.147485310507073e-06,3.0165493096360314e-06,0.997544631224519,22.21441469079183,1,0,0
3.0,0.01,0.0008,0.32,3.0,3.33470440295275e-06,2.6666869460760404e-06,0.9976915346860166,22.21441469079183,1,0,0
3.0,0.01,0.0008,0.32,3.6,1.6117588988960302e-06,4.302240913103867e-09,0.9999073215887678,22.21441469079183,1,1,1
3.0,0.01,0.0008,0.32,4.5,6.604233425202684e-07,4.218967482701002e-09,0.9999082335020119,22.21441469079183,1,1,1
3.0,0.01,0.0008,0.32,5.5,2.958054816691143e-07,5.083118203401515e-08,0.9996812769220454,22.21441469079183,1,1,1
3.0,0.01,0.0008,0.32,7.0,1.1285015656007914e-07,4.3911118842947903e-10,0.9999703228988115,22.21441469079183,1,1,1
3.0,0.01,0.0008,0.42,2.4,1.0531993717412787e-07,4.6396822203163663e-10,0.9999695873263474,25.449809209923146,1,1,1
3.0,0.01,0.0008,0.42,3.0,4.3129922216086825e-08,4.525086792411402e-10,0.99996997353527,25.449809209923146,1,1,1
3.0,0.01,0.0008,0.42,3.6,2.0802644604299563e-08,4.3869183423199456e-10,0.9999704402776668,25.449809209923146,1,1,1
3.0,0.01,0.0008,0.42,4.5,8.520515208189591e-09,5.179110208989771e-09,0.9998981584960581,25.449809209923146,1,1,1
3.0,0.01,0.0008,0.42,5.5,3.817996379461045e-09,2.5112872734396353e-09,0.9999291773791474,25.449809209923146,1,1,1
3.0,0.01,0.0008,0.42,7.0,1.4520631300845295e-09,9.339156860950587e-12,0.9999956505361302,25.449809209923146,1,1,1
3.0,0.01,0.0008,0.56,2.4,1.0562333316880326e-09,3.963821377197322e-10,0.9999718727012773,29.386908396347494,1,1,1
3.0,0.01,0.0008,0.56,3.0,4.322046388748532e-10,1.510446308969399e-11,0.9999944882236046,29.386908396347494,1,1,1
3.0,0.01,0.0008,0.56,3.6,2.0819608060747894e-10,1.8867892502739874e-10,0.9999805765806237,29.386908396347494,1,1,1
3.0,0.01,0.0008,0.56,4.5,8.570203661910029e-11,1.2709698163983105e-11,0.9999949393561239,29.386908396347494,1,1,1
3.0,0.01,0.0008,0.56,5.5,3.821829943638773e-11,3.20831001694298e-11,0.9999920005606673,29.386908396347494,1,1,1
3.0,0.01,0.0008,0.56,7.0,3.689757572409997e-11,3.588932594424835e-11,0.999995935976114,29.386908396347494,1,1,1
3.0,0.015,0.0012,0.1,2.4,0.9993463401850824,0.9431076575819914,0.026489923314290165,12.418235332245127,0,0,0
3.0,0.015,0.0012,0.1,3.0,0.9993511743372614,0.9144665373594114,0.043275868392280356,12.418235332245127,0,0,0
3.0,0.015,0.0012,0.1,3.6,0.9981596075035426,0.8466615895278393,0.05690505401528971,12.418235332245127,0,0,0
3.0,0.015,0.0012,0.1,4.5,0.9948934279487196,0.6754371379647091,0.07485565030475673,12.418235332245127,0,0,0
3.0,0.015,0.0012,0.1,5.5,0.991645394907902,0.5250554545737687,0.0974077596251593,12.418235332245127,0,0,0
3.0,0.015,0.0012,0.1,7.0,0.9976278886205092,0.5771670357470978,0.126974828465524,12.418235332245127,0,0,0
3.0,0.015,0.0012,0.14,2.4,0.9837508015790809,0.31761404159824913,0.6246753757833822,14.693454198173747,0,0,0
3.0,0.015,0.0012,0.14,3.0,0.9431591618241523,0.07009447430714764,0.8941157828153288,14.693454198173747,0,0,0
3.0,0.015,0.0012,0.14,3.6,0.7999384249693333,0.251544541000891,0.4218764370601396,14.693454198173747,0,0,0
3.0,0.015,0.0012,0.14,4.5,0.5737817028637358,0.5697584838539955,0.14736114268184844,14.693454198173747,0,0,0
3.0,0.015,0.0012,0.14,5.5,0.36970846010746883,0.07203280474167982,0.6417225213251523,14.693454198173747,0,0,0
3.0,0.015,0.0012,0.14,7.0,0.18996370961676856,0.09066261526077692,0.6055736221208289,14.693454198173747,0,0,0
3.0,0.015,0.0012,0.18,2.4,0.2302177950202312,0.013969926867610902,0.8379522984275414,16.660811018093874,0,0,0
3.0,0.015,0.0012,0.18,3.0,0.11556649888039122,0.10718350862276861,0.5743143495140429,16.660811018093874,0,0,0
3.0,0.015,0.0012,0.18,3.6,0.06242192526267857,0.024882965643344024,0.7853765516671989,16.660811018093874,0,0,0
3.0,0.015,0.0012,0.18,4.5,0.028097907559865007,0.001295623838976871,0.9495302885914377,16.660811018093874,0,0,0
3.0,0.015,0.0012,0.18,5.5,0.013302507752816349,0.009856827979024402,0.8629198194597596,16.660811018093874,0,0,0
3.0,0.015,0.0012,0.18,7.0,0.005300424164751194,0.0032002680669833664,0.9210703902294425,16.660811018093874,0,0,0
3.0,0.015,0.0012,0.24,2.4,0.0038843338865871034,0.0008391450172731045,0.9593135014597278,19.23824745242796,0,0,0
3.0,0.015,0.0012,0.24,3.0,0.001624699752649434,0.00021498147374563844,0.9793365615858205,19.23824745242796,0,0,0
3.0,0.015,0.0012,0.24,3.6,0.0007933055581868177,0.0005173276285690601,0.9680063723817494,19.23824745242796,1,0,0
3.0,0.015,0.0012,0.24,4.5,0.000328173070705285,0.00015023732911165287,0.9827159810178522,19.23824745242796,1,0,0
3.0,0.015,0.0012,0.24,5.5,0.00014789689628741273,4.351248392178331e-08,0.9997054482248725,19.23824745242796,1,1,1
3.0,0.015,0.0012,0.24,7.0,5.6372601564310086e-05,2.075470203112502e-06,0.9979634958372716,19.23824745242796,1,0,0
3.0,0.015,0.0012,0.32,2.4,4.110839450946716e-05,1.524096647542553e-05,0.9944838908710838,22.21441469079183,1,0,0
3.0,0.015,0.0012,0.32,3.0,1.684570765489322e-05,1.3473698310799283e-05,0.9948134447060383,22.21441469079183,1,0,0
3.0,0.015,0.0012,0.32,3.6,8.14711240501399e-06,2.1763428568156447e-08,0.9997914868561678,22.21441469079183,1,1,1
3.0,0.015,0.0012,0.32,4.5,3.340267225874928e-06,2.1339868496340047e-08,0.9997935382470526,22.21441469079183,1,1,1
3.0,0.015,0.0012,0.32,5.5,1.496596693591381e-06,2.5718099890154904e-07,0.9992830176403779,22.21441469079183,1,1,1
3.0,0.015,0.0012,0.32,7.0,5.710615613329113e-07,2.227285578004133e-09,0.999933226694815,22.21441469079183,1,1,1
3.0,0.015,0.0012,0.42,2.4,5.329629666851546e-07,2.3455263043421766e-09,0.9999315736339743,25.449809209923146,1,1,1
3.0,0.015,0.0012,0.42,3.0,2.1830185300021474e-07,2.286424663154497e-09,0.9999324425484857,25.449809209923146,1,1,1
3.0,0.015,0.0012,0.42,3.6,1.0530395185213699e-07,2.2163319296315134e-09,0.9999334926390779,25.449809209923146,1,1,1
3.0,0.015,0.0012,0.42,4.5,4.3137201066320674e-08,2.6235303493850983e-08,0.9997708703957102,25.449809209923146,1,1,1
3.0,0.015,0.0012,0.42,5.5,1.9331445615756814e-08,1.2704079506976284e-08,0.9998406567139808,25.449809209923146,1,1,1
3.0,0.015,0.0012,0.42,7.0,7.353028270007815e-09,4.765758618458278e-11,0.9999902134348634,25.449809209923146,1,1,1
3.0,0.015,0.0012,0.56,2.4,5.345236958732129e-09,2.0066252220039376e-09,0.9999367149701797,29.386908396347494,1,1,1
3.0,0.015,0.0012,0.56,3.0,2.1882702999775264e-09,7.632329142964064e-11,0.9999875983221244,29.386908396347494,1,1,1
3.0,0.015,0.0012,0.56,3.6,1.0549898163501744e-09,9.553318411301895e-10,0.9999562980257224,29.386908396347494,1,1,1
3.0,0.015,0.0012,0.56,4.5,4.357244278057658e-10,7.016849718781886e-11,0.9999886133940168,29.386908396347494,1,1,1
3.0,0.015,0.0012,0.56,5.5,1.9363649913304638e-10,1.6220297875125708e-10,0.9999820013662489,29.386908396347494,1,1,1
3.0,0.015,0.0012,0.56,7.0,7.410365239601993e-11,4.214342561591908e-11,0.999990858302192,29.386908396347494,1,1,1
3.0,0.02,0.0016,0.1,2.4,0.9982990210792417,0.8393145852805155,0.009401684087061138,12.418235332245127,0,0,0
3.0,0.02,0.0016,0.1,3.0,0.9991663325382351,0.7913430162141603,0.019827582825482387,12.418235332245127,0,0,0
3.0,0.02,0.0016,0.1,3.6,0.9994995803023173,0.7369062243698747,0.05743285322931263,12.418235332245127,0,0,0
3.0,0.02,0.0016,0.1,4.5,0.9987367490383247,0.6308308220324763,0.17430194475549438,12.418235332245127,0,0,0
3.0,0.02,0.0016,0.1,5.5,0.9963653061632414,0.5532974067782216,0.3367657181894343,12.418235332245127,0,0,0
3.0,0.02,0.0016,0.1,7.0,0.9922579232942541,0.49664220732866116,0.4942158720839858,12.418235332245127,0,0,0
3.0,0.02,0.0016,0.14,2.4,0.9972889759788333,0.576858415012797,0.15635420645378562,14.693454198173747,0,0,0
3.0,0.02,0.0016,0.14,3.0,0.991781328305844,0.42200894240945136,0.23603557956775761,14.693454198173747,0,0,0
3.0,0.02,0.0016,0.14,3.6,0.9842005000176456,0.6723953645654266,0.17063522779445178,14.693454198173747,0,0,0
3.0,0.02,0.0016,0.14,4.5,0.851501676523818,0.8235168955480613,0.030637620586686717,14.693454198173747,0,0,0
3.0,0.02,0.0016,0.14,5.5,0.6669205193476976,0.14311916228975402,0.4575552478760007,14.693454198173747,0,0,0
3.0,0.02,0.0016,0.14,7.0,0.4136892678081361,0.22375900396230328,0.41008399245279054,14.693454198173747,0,0,0
3.0,0.02,0.0016,0.18,2.4,0.4792294543509827,0.042554773278099575,0.7299183277579372,16.660811018093874,0,0,0
3.0,0.02,0.0016,0.18,3.0,0.276096230183818,0.2590702420153324,0.37309600183512936,16.660811018093874,0,0,0
3.0,0.02,0.0016,0.18,3.6,0.16168960454454728,0.06964928994712351,0.6508360459398472,16.660811018093874,0,0,0
3.0,0.02,0.0016,0.18,4.5,0.07799778469572108,0.0039879520600046205,0.9120438020884089,16.660811018093874,0,0,0
3.0,0.02,0.0016,0.18,5.5,0.03851130966924553,0.028897982200073016,0.7694309736396797,16.660811018093874,0,0,0
3.0,0.02,0.0016,0.18,7.0,0.015861615911722915,0.009696303560995352,0.8640135479882377,16.660811018093874,0,0,0
3.0,0.02,0.0016,0.24,2.4,0.011717521082214863,0.0025958875662072814,0.92881636726747,19.23824745242796,0,0,0
3.0,0.02,0.0016,0.24,3.0,0.004983464672414516,0.0006721410891494363,0.9635606505946954,19.23824745242796,0,0,0
3.0,0.02,0.0016,0.24,3.6,0.002455558246697511,0.0016077966343638408,0.9438317837717107,19.23824745242796,0,0,0
3.0,0.02,0.0016,0.24,4.5,0.0010234327980972366,0.0004705553806055656,0.96947966586859,19.23824745242796,0,0,0
3.0,0.02,0.0016,0.24,5.5,0.0004632684432029409,1.373574903933562e-07,0.999476412828877,19.23824745242796,1,1,1
3.0,0.02,0.0016,0.24,7.0,0.00017718121318333174,6.552824246968542e-06,0.9963824200087471,19.23824745242796,1,0,0
3.0,0.02,0.0016,0.32,2.4,0.00012931161598220888,4.8031934515520816e-05,0.9902146283469444,22.21441469079183,1,0,0
3.0,0.02,0.0016,0.32,3.0,5.308047456750486e-05,4.2468342507052824e-05,0.9907980624856969,22.21441469079183,1,0,0
3.0,0.02,0.0016,0.32,3.6,2.569496120566787e-05,6.875156273636382e-08,0.9996293408710438,22.21441469079183,1,1,1
3.0,0.02,0.0016,0.32,4.5,1.0542797668953257e-05,6.740701658993417e-08,0.9996329872590602,22.21441469079183,1,1,1
3.0,0.02,0.0016,0.32,5.5,4.7257540257662575e-06,8.124438531115018e-07,0.9987257212997445,22.21441469079183,1,0,0
3.0,0.02,0.0016,0.32,7.0,1.8038349655944313e-06,7.044909679710712e-09,0.9998812943160772,22.21441469079183,1,1,1
3.0,0.02,0.0016,0.42,2.4,1.6834877650385881e-06,7.409162586031247e-09,0.9998783571522548,25.449809209923146,1,1,1
3.0,0.02,0.0016,0.42,3.0,6.896733293384858e-07,7.223641120642318e-09,0.9998799020190924,25.449809209923146,1,1,1
3.0,0.02,0.0016,0.42,3.6,3.3272097060466495e-07,7.000165426438549e-09,0.9998817686657263,25.449809209923146,1,1,1
3.0,0.02,0.0016,0.42,4.5,1.363203882079262e-07,8.292643369295459e-08,0.9995926938816725,25.449809209923146,1,1,1
3.0,0.02,0.0016,0.42,5.5,6.109608413981925e-08,4.014018023531766e-08,0.9997167410039421,25.449809209923146,1,1,1
3.0,0.02,0.0016,0.42,7.0,2.3241794268944437e-08,1.5081923162733784e-10,0.9999826014487107,25.449809209923146,1,1,1
3.0,0.02,0.0016,0.56,2.4,1.6890074110385597e-08,6.336522416731651e-09,0.9998874965050042,29.386908396347494,1,1,1
3.0,0.02,0.0016,0.56,3.0,6.917002249535605e-09,2.4205670956655355e-10,0.999977952400164,29.386908396347494,1,1,1
3.0,0.02,0.0016,0.56,3.6,3.3337818080301695e-09,3.019305713412915e-09,0.9999223089307574,29.386908396347494,1,1,1
3.0,0.02,0.0016,0.56,4.5,1.3659092173242214e-09,2.0348491736756768e-10,0.999979757107053,29.386908396347494,1,1,1
