point_label,noise_kind,gamma_phi0_over_omega_rabi0,v_low,g0_over_omega_rabi0,oscillator_ratio,t_gate,gamma_phi_effective,gamma_decay,F_g,mean_six_state_fidelity,min_six_state_fidelity,max_high_population,passes_leakage,passes_state_transfer,passes_six_state_proxy
r002_v024_ratio3,white,0.0001,0.24,0.02,3.0,19.23824745242796,8.000000000000001e-06,0.0,0.9993316050874815,0.9992725807749844,0.9992234956036246,0.0007828939961962828,1,1,1
r002_v024_ratio3,1/f,0.0001,0.24,0.02,3.0,19.23824745242796,3.333333333333334e-05,0.0,0.9991873085714735,0.9989403614043488,0.9987367993422127,0.0007834249729805104,1,1,0
r002_v024_ratio3,white,0.0003,0.24,0.02,3.0,19.23824745242796,2.3999999999999997e-05,0.0,0.9992404659558923,0.9990627291074804,0.9989160558431857,0.0007832293666074812,1,1,1
r002_v024_ratio3,1/f,0.0003,0.24,0.02,3.0,19.23824745242796,9.999999999999999e-05,0.0,0.998807765235991,0.9980672862181964,0.9974581799797265,0.0007848215965082663,1,0,0
r002_v024_ratio3,white,0.001,0.24,0.02,3.0,19.23824745242796,8e-05,0.0,0.9989216001949802,0.9983290283838221,0.9978414373473317,0.0007844027134843142,1,0,0
r002_v024_ratio3,1/f,0.001,0.24,0.02,3.0,19.23824745242796,0.0003333333333333334,0.0,0.9974814641012408,0.9950250140562035,0.9930075674179205,0.0007900465716005228,1,0,0
r002_v024_ratio3,white,0.0025,0.24,0.02,3.0,19.23824745242796,0.0002,0.0,0.9982389506851082,0.9967608905982775,0.9955461071619899,0.0007869750804648163,1,0,0
r002_v024_ratio3,1/f,0.0025,0.24,0.02,3.0,19.23824745242796,0.0008333333333333334,0.0,0.9946503504496665,0.9885759225426186,0.983597883895318,0.000801526144554839,1,0,0
r002_v024_ratio3,white,0.01,0.24,0.02,3.0,19.23824745242796,0.0008,0.0,0.9948386279577172,0.9890029128014096,0.9842198408244067,0.0008007627285290964,1,0,0
r002_v024_ratio3,1/f,0.01,0.24,0.02,3.0,19.23824745242796,0.0033333333333333335,0.0,0.9807154960599345,0.9577134778602864,0.9390517265501984,0.0008635758414005994,1,0,0
r003_v024_ratio45,white,0.0001,0.24,0.03,4.5,19.23824745242796,8.000000000000001e-06,0.0,0.9997779886727989,0.9997189849063476,0.9996694800671335,0.0003906147403818986,1,1,1
r003_v024_ratio45,1/f,0.0001,0.24,0.03,4.5,19.23824745242796,3.333333333333334e-05,0.0,0.9996335718834133,0.9993876656793148,0.9991825692134217,0.0003917564093213756,1,1,1
r003_v024_ratio45,white,0.0003,0.24,0.03,4.5,19.23824745242796,2.3999999999999997e-05,0.0,0.9996867738057389,0.9995097018891111,0.9993619043942601,0.0003913357740287385,1,1,1
r003_v024_ratio45,1/f,0.0003,0.24,0.03,4.5,19.23824745242796,9.999999999999999e-05,0.0,0.999253702793367,0.9985169533834742,0.9979034007353953,0.00039476163992300395,1,1,0
r003_v024_ratio45,white,0.001,0.24,0.03,4.5,19.23824745242796,8e-05,0.0,0.9993676368857222,0.9987779875656059,0.9982868204669881,0.00039385994160914475,1,1,0
r003_v024_ratio45,1/f,0.001,0.24,0.03,4.5,19.23824745242796,0.0003333333333333334,0.0,0.9979261563606995,0.9954828789922051,0.9934510430983872,0.0004052895024830788,1,0,0
r003_v024_ratio45,white,0.0025,0.24,0.03,4.5,19.23824745242796,0.0002,0.0,0.998684374531702,0.9972140867249029,0.995990546467808,0.0003992717579834552,1,0,0
r003_v024_ratio45,1/f,0.0025,0.24,0.03,4.5,19.23824745242796,0.0008333333333333334,0.0,0.9950918281877534,0.9890510211353504,0.9840385344866952,0.0004278987057312146,1,0,0
r003_v024_ratio45,white,0.01,0.24,0.03,4.5,19.23824745242796,0.0008,0.0,0.995280343004216,0.9894768769688776,0.9846606417731063,0.0004263893379785295,1,0,0
r003_v024_ratio45,1/f,0.01,0.24,0.03,4.5,19.23824745242796,0.0033333333333333335,0.0,0.9811301221490007,0.9582680472076682,0.9394957099030565,0.0005441277848479538,1,0,0
r004_v024_ratio55,white,0.0001,0.24,0.04,5.5,19.23824745242796,8.000000000000001e-06,0.0,0.9999519089347928,0.9998927995789497,0.999843880648158,0.0005948698702488798,1,1,1
r004_v024_ratio55,1/f,0.0001,0.24,0.04,5.5,19.23824745242796,3.333333333333334e-05,0.0,0.999806367776854,0.9995604366402011,0.9993568827865091,0.0005959673443803923,1,1,1
r004_v024_ratio55,white,0.0003,0.24,0.04,5.5,19.23824745242796,2.3999999999999997e-05,0.0,0.9998599839593691,0.9996828574514449,0.9995362503058491,0.0005955629963399226,1,1,1
r004_v024_ratio55,1/f,0.0003,0.24,0.04,5.5,19.23824745242796,9.999999999999999e-05,0.0,0.9994235390489995,0.9986869747633452,0.9980774737266475,0.0005988560626524872,1,1,0
r004_v024_ratio55,white,0.001,0.24,0.04,5.5,19.23824745242796,8e-05,0.0,0.9995383611485419,0.9989488342900611,0.9984609673979369,0.0005979893486104914,1,1,0
r004_v024_ratio55,1/f,0.001,0.24,0.04,5.5,19.23824745242796,0.0003333333333333334,0.0,0.9980856251224055,0.9956432486848642,0.9936241424824535,0.0006089738364008971,1,0,0
r004_v024_ratio55,white,0.0025,0.24,0.04,5.5,19.23824745242796,0.0002,0.0,0.9988497692619936,0.9973799748337139,0.9961642271718745,0.0006031908732437686,1,0,0
r004_v024_ratio55,1/f,0.0025,0.24,0.04,5.5,19.23824745242796,0.0008333333333333334,0.0,0.9952290347404938,0.9891905066132627,0.9842088665163167,0.0006309926325156315,1,0,0
r004_v024_ratio55,white,0.01,0.24,0.04,5.5,19.23824745242796,0.0008,0.0,0.9954190356394756,0.9896177623277703,0.9848311865103878,0.0006294808906585416,1,0,0
r004_v024_ratio55,1/f,0.01,0.24,0.04,5.5,19.23824745242796,0.0033333333333333335,0.0,0.9811550430495184,0.9582997114119189,0.9396391770873556,0.0007474302530009071,1,0,0
r005_v024_ratio7,white,0.0001,0.24,0.05,7.0,19.23824745242796,8.000000000000001e-06,0.0,0.9999454408313045,0.9998863691501757,0.9998373460217949,0.000444778578814821,1,1,1
r005_v024_ratio7,1/f,0.0001,0.24,0.05,7.0,19.23824745242796,3.333333333333334e-05,0.0,0.9998004448255416,0.9995544781057815,0.9993503922926569,0.00044602551628777676,1,1,1
r005_v024_ratio7,white,0.0003,0.24,0.05,7.0,19.23824745242796,2.3999999999999997e-05,0.0,0.9998538601619731,0.9996767173604826,0.9995297204102735,0.0004455660956214936,1,1,1
r005_v024_ratio7,1/f,0.0003,0.24,0.05,7.0,19.23824745242796,9.999999999999999e-05,0.0,0.9994190506715546,0.9986822414952012,0.9980710511161801,0.00044930781260478785,1,1,0
r005_v024_ratio7,white,0.001,0.24,0.05,7.0,19.23824745242796,8e-05,0.0,0.999533442399772,0.9989437171791034,0.9984544754353298,0.00044832298951822037,1,1,0
r005_v024_ratio7,1/f,0.001,0.24,0.05,7.0,19.23824745242796,0.0003333333333333334,0.0,0.9980861570364651,0.9956426786097223,0.9936177740011712,0.0004608059778106396,1,0,0
r005_v024_ratio7,white,0.0025,0.24,0.05,7.0,19.23824745242796,0.0002,0.0,0.9988474325654416,0.9973770353318859,0.9961577777850339,0.0004542336696396221,1,0,0
r005_v024_ratio7,1/f,0.0025,0.24,0.05,7.0,19.23824745242796,0.0008333333333333334,0.0,0.9952403208138383,0.9891991852200963,0.9842031259582648,0.00048582100884143984,1,0,0
r005_v024_ratio7,white,0.01,0.24,0.05,7.0,19.23824745242796,0.0008,0.0,0.9954296049554278,0.9896258318321,0.9848254112445366,0.00048414065909194474,1,0,0
r005_v024_ratio7,1/f,0.01,0.24,0.05,7.0,19.23824745242796,0.0033333333333333335,0.0,0.9812200034115985,0.958355822184083,0.9396426629725885,0.0006144042762178835,1,0,0
